Order ID,Order Priority,Order Quantity,Sales,Ship Mode,Unit Price,Customer Name,Province,Region,Product Category,Product Sub Category
O3,Low,6,262,Regular Air,39,Muhammed MacIntyre,Nunavut,Nunavut,Office Supplies,Storage & Organization
O293,High,49,10123,Delivery Truck,208,Barry French,Nunavut,Nunavut,Office Supplies,Appliances
O293,High,27,245,Regular Air,9,Barry French,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O483,High,30,4966,Regular Air,196,Clay Rozendal,Nunavut,Nunavut,Technology,Telephones and Communication
O515,Not Specified,19,394,Regular Air,22,Carlos Soltero,Nunavut,Nunavut,Office Supplies,Appliances
O515,Not Specified,21,147,Regular Air,7,Carlos Soltero,Nunavut,Nunavut,Furniture,Office Furnishings
O613,High,12,94,Regular Air,7,Carl Jackson,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O613,High,22,905,Regular Air,43,Carl Jackson,Nunavut,Nunavut,Office Supplies,Storage & Organization
O643,High,21,2782,Express Air,138,Monica Federle,Nunavut,Nunavut,Office Supplies,Storage & Organization
O678,Low,44,228,Regular Air,5,Dorothy Badders,Nunavut,Nunavut,Office Supplies,Paper
O807,Medium,45,197,Regular Air,4,Neola Schneider,Nunavut,Nunavut,Office Supplies,Paper
O807,Medium,32,125,Regular Air,4,Neola Schneider,Nunavut,Nunavut,Office Supplies,Rubber Bands
O868,Not Specified,32,717,Regular Air,22,Carlos Daly,Nunavut,Nunavut,Office Supplies,Appliances
O868,Not Specified,31,1474,Regular Air,48,Carlos Daly,Nunavut,Nunavut,Technology,Computer Peripherals
O933,Not Specified,15,81,Regular Air,5,Claudia Miner,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O995,Medium,46,1815,Regular Air,40,Neola Schneider,Nunavut,Nunavut,Furniture,Office Furnishings
O998,Not Specified,16,248,Regular Air,16,Allen Rosenblatt,Nunavut,Nunavut,Office Supplies,Envelopes
O1154,Critical,44,4462,Delivery Truck,101,Sylvia Foulston,Nunavut,Nunavut,Furniture,Bookcases
O1154,Critical,11,664,Regular Air,71,Sylvia Foulston,Nunavut,Nunavut,Furniture,Tables
O1344,Low,15,835,Regular Air,66,Jim Radford,Nunavut,Nunavut,Technology,Telephones and Communication
